O*NET-SOC Code	Title	Element ID	Element Name	Data Value
11-1021.00	General and Operations Managers	4.A.3.a.2	Handling and Moving Objects	2.0
11-1021.00	General and Operations Managers	4.A.3.a.3	Controlling Machines and Processes	2.07
11-1021.00	General and Operations Managers	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	1.9
11-1021.00	General and Operations Managers	4.A.3.b.1	Working with Computers	4.46
11-1021.00	General and Operations Managers	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	2.12
11-1021.00	General and Operations Managers	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.83
11-1021.00	General and Operations Managers	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.89
11-1021.00	General and Operations Managers	4.A.3.b.6	Documenting/Recording Information	3.94
11-1021.00	General and Operations Managers	4.A.4.a.1	Interpreting the Meaning of Information for Others	3.72
11-1021.00	General and Operations Managers	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.34
11-1021.00	General and Operations Managers	4.A.4.a.3	Communicating with People Outside the Organization	3.57
11-1021.00	General and Operations Managers	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.28
11-1021.00	General and Operations Managers	4.A.4.a.5	Assisting and Caring for Others	3.02
11-1021.00	General and Operations Managers	4.A.4.a.6	Selling or Influencing Others	3.58
11-1021.00	General and Operations Managers	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	3.88
11-1021.00	General and Operations Managers	4.A.4.a.8	Performing for or Working Directly with the Public	2.54
11-1021.00	General and Operations Managers	4.A.4.b.1	Coordinating the Work and Activities of Others	3.99
11-1021.00	General and Operations Managers	4.A.4.b.2	Developing and Building Teams	3.81
11-1021.00	General and Operations Managers	4.A.4.b.3	Training and Teaching Others	3.41
11-1021.00	General and Operations Managers	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	4.2
11-1021.00	General and Operations Managers	4.A.4.b.5	Coaching and Developing Others	3.91
11-1021.00	General and Operations Managers	4.A.4.b.6	Providing Consultation and Advice to Others	3.66
11-1021.00	General and Operations Managers	4.A.4.c.1	Performing Administrative Activities	3.4
11-1021.00	General and Operations Managers	4.A.4.c.2	Staffing Organizational Units	3.7
11-1021.00	General and Operations Managers	4.A.4.c.3	Monitoring and Controlling Resources	3.86
11-2011.00	Advertising and Promotions Managers	4.A.1.a.1	Getting Information	4.32
11-2011.00	Advertising and Promotions Managers	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	2.78
11-2011.00	Advertising and Promotions Managers	4.A.1.b.1	Identifying Objects, Actions, and Events	3.6
